m,x,y,z,vx,vy,vz
9.999999999999999547e-08,-3.619001166414734172e+01,-4.701781566020087233e+00,2.400957945772365765e+00,1.883582529968722274e-01,-1.050085324251493812e+00,3.320452381371192391e-02
9.999999999999999547e-08,2.240907008085594754e+01,-6.400526309845897543e+00,-5.037146140103533343e-01,3.893707082575288969e-01,1.194060077711609713e+00,-1.234314927964211828e-01
9.999999999999999547e-08,-1.223196610602261281e+01,-4.184630751502939461e+01,-1.754951627125636571e-01,9.098345729274883720e-01,-2.527795720468316576e-01,-6.731823799284549414e-04
9.999999999999999547e-08,3.424848394532324480e+00,3.464160486734959932e+01,6.902711696390679830e-01,-1.060501435642077883e+00,1.075718412772699722e-01,1.538591374775865293e-02
9.999999999999999547e-08,-3.666081734229691858e+00,-3.315617823850023349e+00,-9.972241070284925193e-03,1.874846557320689389e+00,-2.050563137359285637e+00,-1.661508214529072713e-01
9.999999999999999547e-08,-4.925060162491818971e+01,-4.459250607607613937e+00,9.783930933417901432e-01,7.410853141714235370e-02,-8.834520622835269066e-01,3.250067105870286382e-02
9.999999999999999547e-08,3.899574739519385247e+01,-6.343819285802285712e+00,-2.372700548862026082e+00,1.624374185017755101e-01,9.650551316783581024e-01,2.087389306699820660e-02
9.999999999999999547e-08,-3.544698879101762401e+01,1.196087093298318038e+01,-2.188538825545027766e+00,-4.202402186491190905e-01,-9.624928469382436624e-01,-1.353387781363033415e-04
9.999999999999999547e-08,3.638557796855656612e+00,-5.280989753896815131e+00,4.657637789473463574e-02,2.030955073660933419e+00,1.437988439382473116e+00,-1.958797404314278068e-01
9.999999999999999547e-08,1.698143143639695296e+01,1.388856089394889182e+01,1.550363467245073068e-01,-8.453073967570785552e-01,1.065652521332251856e+00,-6.371666984957755336e-04
9.999999999999999547e-08,7.624492212891536447e+00,-1.657446884984885216e+01,3.425319474868391278e-01,1.300725469601953455e+00,7.138969692274754753e-01,5.707214780474038213e-02
9.999999999999999547e-08,4.287984219721566603e+01,-1.036865003624698645e+01,2.046338935028999273e-01,2.113923212831456955e-01,9.414305897939408974e-01,-8.313109304987327530e-02
9.999999999999999547e-08,8.210014240591485546e+00,-3.104802699302130264e+01,-3.867763851448416945e-01,1.073932568267919940e+00,2.803908984954240347e-01,3.795713398014829293e-02
9.999999999999999547e-08,-2.147571258739349176e+01,-3.580837981359977817e+01,-8.142364548869804874e-01,8.238682200724012361e-01,-5.005602417881045429e-01,-4.493182565004460310e-02
9.999999999999999547e-08,2.368051225398432535e+01,3.656854136717099912e+00,1.803722532545697088e-02,-2.507852921841234317e-01,1.206665385078095509e+00,-2.537047515656219721e-03
9.999999999999999547e-08,3.128582308167620951e+00,1.087946791326423224e+01,-1.495784849599278155e-01,-1.803942920215426016e+00,5.172028287617073117e-01,-3.397358086887115186e-02
9.999999999999999547e-08,-2.134720138012331248e+01,-1.574581456617625186e+01,9.719113613559977605e-01,7.833209753979525347e-01,-9.685548730863480227e-01,-3.745717349861175244e-02
9.999999999999999547e-08,-2.729376636134783762e+00,-2.193653968641822161e+00,-4.992314674052245743e-02,1.920267250364435796e+00,-2.612203921275625618e+00,-1.227604742400098120e-01
9.999999999999999547e-08,3.810678248884757835e+01,1.317399093186833881e+01,-3.217070743190908466e-01,-3.320940192972103300e-01,9.429833026918397199e-01,-7.107666969951867419e-02
9.999999999999999547e-08,1.035902749469741302e+01,3.086602045829634022e+01,-1.829542158085451620e+00,-1.002101118527595869e+00,4.093965698453716495e-01,-3.025834258495961604e-02
9.999999999999999547e-08,1.575367378171990751e+01,3.486737622732815822e+01,-6.087349370690864347e-01,-9.124814446149881464e-01,4.268084354313289031e-01,-8.765323130420960007e-02
9.999999999999999547e-08,-1.481649240681306701e+01,-1.068663746376165946e+01,1.023914642575644018e+00,8.422855609142827493e-01,-1.173883549832458240e+00,-9.344060468756915094e-02
9.999999999999999547e-08,-4.220617165312580710e+01,2.327599909982776083e+01,1.160649899456139389e+00,-4.140019063624560958e-01,-8.080161454098173657e-01,6.882623180432259017e-04
9.999999999999999547e-08,4.292105544173813181e-02,4.271053727423443291e+01,7.462227548703562197e-02,-9.781869611576332613e-01,8.898073204397896618e-02,-8.329364798153154046e-05
9.999999999999999547e-08,2.125463548064231389e+01,3.264210930521638687e+01,9.197845313269488177e-01,-8.530836665317023115e-01,5.274030629024746286e-01,8.200096894980317408e-02
9.999999999999999547e-08,3.923926743969400111e+00,8.850457887883310448e+00,2.918700792164320990e-01,-1.857472821367174953e+00,8.231218492627420114e-01,2.687292540910810393e-02
9.999999999999999547e-08,2.057501475682956738e+01,-1.103094283652256102e+01,7.736220218497060763e-01,7.176781632021267399e-01,1.084869206954227394e+00,1.741469594967785806e-02
9.999999999999999547e-08,1.285643936851615488e+00,-1.845273872898878231e+00,3.488677983770907542e-02,3.458473281739663729e+00,2.422938269717514359e+00,1.338368845623322083e-02
9.999999999999999547e-08,-8.120135056255822548e+00,-1.263470591565094003e-01,4.809918299869537783e-01,2.029568728828772539e-01,-2.144179877803582102e+00,6.767206682097798298e-02
9.999999999999999547e-08,3.227492297343999894e+01,1.666786745533820735e+01,9.826344223844124537e-01,-4.485547077201589294e-01,9.036974693091885946e-01,7.796882729659695282e-03
9.999999999999999547e-08,1.162989556518994227e+01,-3.552882689394565574e+01,-4.202953406700677963e-01,9.549463254285838198e-01,3.745883947851758045e-01,1.463094571215401568e-02
9.999999999999999547e-08,-4.275771061608038082e+01,-2.895168562621098829e+01,-1.864335615823757619e+00,4.493999795954873866e-01,-7.136072958147600120e-01,2.860737864662810798e-02
9.999999999999999547e-08,-1.507938573972903384e+01,2.887687929880624615e+00,-1.152033849593491643e+00,-3.789834348066607461e-01,-1.603491468235906270e+00,2.469522853265005997e-03
9.999999999999999547e-08,1.309240084844797103e+01,-1.347525332489053440e+01,3.478623619300243441e-01,1.034132177068034508e+00,1.003678029852431930e+00,-2.823966871748187848e-02
9.999999999999999547e-08,-8.169940109003217543e+00,-1.959721399384961771e+01,-9.736921337997545001e-01,1.330125967187599789e+00,-5.116252732571997530e-01,-7.786505122771987530e-02
9.999999999999999547e-08,-5.724821530229987410e+00,7.695374503458333848e+00,3.541389671548252904e-01,-1.730475654424919352e+00,-1.047665302922476060e+00,-4.892122526815415040e-02
9.999999999999999547e-08,-4.637897989146558153e+00,3.834024302583426191e+00,1.724359860739586026e-01,-1.755734252997301681e+00,-2.007648679960169158e+00,-7.379894330904143707e-02
9.999999999999999547e-08,-2.030092811951372767e+01,-1.246305083847864736e+01,4.691912153821181652e-01,7.409213232999016796e-01,-1.052318150950914299e+00,3.706286490215313784e-02
9.999999999999999547e-08,2.995425848826497539e+00,1.161196874939567181e+01,-1.458153240307286658e-01,-1.705204849436979586e+00,4.684519759830643171e-01,1.382204849520194019e-02
9.999999999999999547e-08,3.249437227033790521e+01,1.111848766179104153e+01,1.127203785744518738e+00,-2.945701682711606706e-01,1.016520287136904788e+00,-4.141258999760630277e-03
9.999999999999999547e-08,-1.231233681176718164e+00,2.191015346188673618e+01,-2.804372768498542001e-01,-1.332943197166176708e+00,-7.623786650717083446e-02,-1.164339961479383123e-01
9.999999999999999547e-08,2.537916627341559561e+01,-3.059118554770669007e+01,4.035645125214737949e-01,7.708707463339918853e-01,6.664812313109305109e-01,9.529002467755729724e-04
9.999999999999999547e-08,1.428243315236032984e+01,-3.167974522854892783e+01,-3.336826930009271663e+00,9.963297567200432026e-01,3.772425908242023618e-01,-1.100235331529349041e-02
9.999999999999999547e-08,-1.513927804414566580e+01,-2.277799527977207195e+00,1.601718115613683935e-01,1.426723096935417767e-01,-1.618629944679058408e+00,-2.964705373973771426e-03
9.999999999999999547e-08,3.283920557505925331e+01,2.772647619005573105e+01,1.702154509966250229e-01,-6.130991168846322559e-01,7.153380845376963171e-01,3.388954976008529130e-02
9.999999999999999547e-08,-4.008269911685011522e+01,-1.282914673418190432e+01,-1.092492499760485680e+00,2.790176324489721527e-01,-9.023467309676302950e-01,-5.206895045489668555e-02
9.999999999999999547e-08,1.396333372621326596e+01,1.237379430446445916e+01,-1.217233041169942936e-01,-9.236389621326304145e-01,1.154248177292803046e+00,1.231335453325481111e-01
9.999999999999999547e-08,6.220035527719057100e+00,-1.367439862822103258e+01,-1.739170323958197928e-01,1.433436582732547926e+00,6.895823655297882437e-01,1.390508326031147761e-02
9.999999999999999547e-08,9.159481757269821500e+00,3.586672149595115400e+01,3.003458745682281994e-01,-9.681929993149041014e-01,1.987730978882558674e-01,1.101718122198130576e-02
9.999999999999999547e-08,6.380618481868872927e+00,3.823876619441908709e+00,4.616702798551721165e-01,-1.238840233137110891e+00,1.864866932677765377e+00,1.669567479331269047e-02
