# t_yr,a_AU,e,n_radyr,RL1_AU,RL2_AU,Ls1,Ls2,Jorb,Jtot,Omega1,Omega2,MB_saturated(super=1),super_synchronous(1),da_dt_AU_per_yr
0.000000000000000000e+00,6.999999999999997891e-02,9.999999999999970024e-02,4.797862595322042125e+02,2.652443628663193539e-02,2.652443628663193539e-02,3.112879027682482428e-03,5.188131712804137019e-04,1.169584186790751934e+00,1.173215878989714689e+00,1.439358778596612638e+03,2.398931297661021063e+02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.347245409015025430e+00,7.000682159351068190e-02,1.000168838882798394e-01,4.797161343566303913e+02,2.652702112838118895e-02,2.652702112838118895e-02,9.057114956790268115e-04,4.522013429277253901e-04,1.169639179246362293e+00,1.170997092084969049e+00,4.187903804125755869e+02,2.090926010448837076e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.172269025822187418e-07
1.669449081803005086e+01,7.000603426551037234e-02,1.000060565823357589e-01,4.797242271234329110e+02,2.652672279364717833e-02,2.652672279364717833e-02,6.462641283335136475e-04,4.060356733339346813e-04,1.169633881424702260e+00,1.170686181226369804e+00,2.988249585469637850e+02,1.877461364991399648e+02,0.000000000000000000e+00,0.000000000000000000e+00,-9.432189443708549322e-08
2.504173622704507807e+01,7.000435461397805370e-02,9.999215661863014581e-02,4.797414926429333946e+02,2.652608633921784906e-02,2.652608633921784906e-02,5.292926245980157781e-04,3.716273050408314322e-04,1.169621492030233911e+00,1.170522411959872944e+00,2.447387061580679983e+02,1.718361102760087533e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.012222535717727742e-07
3.338898163606010172e+01,7.000226480261065309e-02,9.997632172360947089e-02,4.797629757344463997e+02,2.652529446681119868e-02,2.652529446681119868e-02,4.590836641907874343e-04,3.447037188951388082e-04,1.169605904247954298e+00,1.170409691631040250e+00,2.122749057342135472e+02,1.593869595941218336e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.503594018145927740e-07
4.173622704507512537e+01,6.999993753420163944e-02,9.995987753909796325e-02,4.797869017521720139e+02,2.652441261705924813e-02,2.652441261705924813e-02,4.109962819321469059e-04,3.228950109848351840e-04,1.169588404038116813e+00,1.170322295331033713e+00,1.900398637752475679e+02,1.493028686604902191e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.788067553998352599e-07
5.008347245409015613e+01,6.999744281652264810e-02,9.994286069104765802e-02,4.798125514791285013e+02,2.652346731734311208e-02,2.652346731734311208e-02,3.754184137635162635e-04,3.047628960099592419e-04,1.169569571799272456e+00,1.170249753109045887e+00,1.735890745165347084e+02,1.409187912095135857e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.988671779431626690e-07
5.843071786310517979e+01,6.999482331064453555e-02,9.992516900410168545e-02,4.798394866901666092e+02,2.652247473281787657e-02,2.652247473281787657e-02,3.477225777065384932e-04,2.893776153407827813e-04,1.169549775886216780e+00,1.170186876079263971e+00,1.607828445266522408e+02,1.338048177478340790e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.138168041978834539e-07
6.677796327212020344e+01,6.999211115717464404e-02,9.990745898305448958e-02,4.798673772105622675e+02,2.652144704221913799e-02,2.652144704221913799e-02,3.253730334009741557e-04,2.761101507453894623e-04,1.169529207231267964e+00,1.170130690415414287e+00,1.504486771826043139e+02,1.276700976172813569e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.249159856930028855e-07
7.512520868113523420e+01,6.998931699431473752e-02,9.988907632838449346e-02,4.798961139030235472e+02,2.652038827657982045e-02,2.652038827657982045e-02,3.068431721553015732e-04,2.645141370259793036e-04,1.169508031871726139e+00,1.170079389180907370e+00,1.418806865177076872e+02,1.223082367819163636e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.347407106168013186e-07
